jam_order,jumlah_antrian,estimasi_menit,order_items,label
20.73,19,45,tahu_tempe_goreng,1
8.05,10,45,tahu_tempe_goreng,1
16.25,9,60,jeruk_es,1
14.38,5,45,nasi_mie_ayam_bakar,0
16.25,6,45,"es_teh_manis,nasgor_kebuli_ayam",0
15.9,2,60,kerupuk_udang,1
8.02,13,20,"nasi_sfc,nasi_lele_penyet",0
19.8,6,60,nasi_soto_ayam,0
15.45,5,20,nasi_ayam_geprek,0
15.52,1,30,"nasgor_kebuli_ayam,nasi_soto_babat",0
18.43,6,20,"nasi_soto_sapi,nasgor_kebuli_sapi,nasi_mie_ayam_bakar",1
10.32,6,20,"nasi_ayam_geprek,nasi_ayam_penyet",0
8.38,16,30,nasi_ayam_penyet,1
15.18,4,20,nasi_soto_sapi,0
10.82,11,60,"kentang_goreng,jeruk_es",1
10.57,9,20,"nasi_mie_ayam_bakar,nasi_ayam_geprek",1
8.98,3,30,es_teh_manis,0
18.53,19,60,"nasi_ayam_geprek,nasi_lele_penyet,nasi_mie_geprek",1
12.53,8,30,"nasi_mie_geprek,nasgor_kebuli_sapi,nasi_ayam_geprek",1
17.83,5,30,"nasi_ayam_geprek,nasi_mie_ayam_bakar,es_teh_manis,nasi_mie_geprek",1
14.7,4,45,tahu_tempe_goreng,0
17.6,6,45,"kerupuk_udang,nasi_mie_ayam_bakar,nasi_soto_babat,kentang_goreng",1
16.18,2,30,"nasgor_kebuli_ayam,tahu_tempe_goreng",0
19.03,11,30,"nasi_sfc,nasgor_kebuli_ayam",1
14.0,4,30,"nasi_soto_babat,tahu_tempe_goreng",0
16.53,15,45,"jeruk_es,es_teh_manis",1
15.65,6,45,"tahu_tempe_goreng,nasgor_kebuli_ayam",1
19.15,17,20,"nasi_mie_geprek,nasi_lele_penyet",1
9.7,6,20,nasi_soto_babat,0
8.72,19,30,tahu_tempe_goreng,1
14.47,2,60,nasgor_kebuli_ayam,0
14.2,15,60,"nasgor_kebuli_ayam,es_teh_manis",1
21.18,11,45,nasi_ayam_penyet,1
15.5,8,45,"tahu_tempe_goreng,nasi_mie_ayam_bakar",1
12.75,19,45,"nasgor_kebuli_ayam,kerupuk_udang",1
10.02,13,30,nasi_lele_penyet,0
19.83,12,60,"nasi_mie_ayam_bakar,nasi_mie_geprek",1
15.82,5,20,"kentang_goreng,tahu_tempe_goreng",0
13.57,6,30,"nasi_soto_babat,kerupuk_udang",0
18.37,4,20,"nasi_sfc,nasi_soto_sapi,kentang_goreng,nasi_soto_babat",0
10.27,19,20,jeruk_es,0
8.42,1,30,"nasi_lele_penyet,es_teh_manis",0
10.12,17,20,nasi_soto_babat,0
12.47,12,60,"nasi_ayam_penyet,nasi_soto_babat",1
21.42,15,20,nasi_soto_ayam,0
10.15,1,60,nasi_mie_geprek,0
8.42,14,60,nasi_lele_penyet,1
12.55,6,60,"nasi_soto_babat,nasi_ayam_geprek,jeruk_es,kerupuk_udang",1
17.83,5,45,"nasi_ayam_penyet,nasi_soto_sapi,tahu_tempe_goreng,nasi_lele_penyet",1
14.67,11,20,nasi_ayam_penyet,1
21.1,4,30,jeruk_es,0
14.05,13,30,"nasi_mie_ayam_bakar,kerupuk_udang",1
18.95,11,20,"kentang_goreng,nasi_soto_ayam,tahu_tempe_goreng",1
16.87,3,45,nasi_ayam_geprek,0
17.82,1,45,"nasi_ayam_geprek,nasi_soto_ayam",1
17.73,6,60,"nasi_soto_sapi,nasi_mie_geprek,kerupuk_udang,nasi_sfc",1
19.17,18,20,nasi_ayam_geprek,1
20.47,10,20,kentang_goreng,0
10.92,5,30,nasgor_kebuli_ayam,0
14.58,10,20,"jeruk_es,es_teh_manis",1
8.4,12,45,jeruk_es,1
11.33,2,20,"nasi_mie_ayam_bakar,nasi_soto_sapi,jeruk_es",0
20.93,13,30,"kentang_goreng,nasi_soto_ayam",1
11.58,8,60,"tahu_tempe_goreng,nasi_mie_geprek,jeruk_es",1
21.15,2,30,"nasi_sfc,jeruk_es",0
12.6,1,30,"nasgor_kebuli_ayam,nasgor_kebuli_sapi,nasi_ayam_geprek",1
14.13,5,60,"nasi_lele_penyet,kerupuk_udang",0
14.38,9,30,"nasgor_kebuli_ayam,nasi_soto_babat",0
20.57,17,30,"nasi_ayam_geprek,jeruk_es",0
18.8,9,20,"nasi_lele_penyet,nasi_soto_babat",1
20.57,11,20,nasi_ayam_geprek,0
11.78,15,60,"kentang_goreng,nasi_mie_geprek,nasi_soto_babat",1
20.58,6,20,"tahu_tempe_goreng,kentang_goreng",0
14.28,3,20,nasi_ayam_geprek,0
18.8,17,30,"nasi_sfc,nasi_mie_ayam_bakar",1
10.63,5,45,"nasi_lele_penyet,nasgor_kebuli_sapi",1
13.52,12,20,"nasi_ayam_geprek,nasgor_kebuli_ayam",1
19.38,18,45,"nasi_soto_sapi,tahu_tempe_goreng",1
9.37,14,20,nasi_soto_ayam,1
17.52,11,20,"kerupuk_udang,nasi_mie_geprek",1
20.6,9,60,"nasi_soto_ayam,nasi_sfc",1
21.18,2,60,nasi_soto_ayam,0
16.8,12,60,"nasi_ayam_geprek,nasi_soto_sapi",1
12.9,3,45,"nasgor_kebuli_ayam,nasi_ayam_geprek,nasi_sfc",1
13.2,3,30,nasi_soto_babat,0
19.37,1,20,"nasi_ayam_penyet,nasi_mie_ayam_bakar",0
19.4,8,20,"nasi_soto_babat,nasi_ayam_penyet",0
19.57,8,20,"nasi_ayam_geprek,nasi_lele_penyet",1
19.67,11,45,nasi_lele_penyet,1
11.48,9,60,"nasi_mie_geprek,nasi_soto_babat,kerupuk_udang",1
21.27,5,30,"nasgor_kebuli_sapi,nasgor_kebuli_ayam",0
21.8,14,45,nasi_mie_geprek,1
18.32,3,60,"nasi_soto_sapi,nasgor_kebuli_ayam,nasi_ayam_penyet",1
17.78,5,45,"kentang_goreng,nasi_sfc",1
14.4,5,30,"nasi_lele_penyet,tahu_tempe_goreng",0
19.35,19,60,"nasi_ayam_geprek,kentang_goreng",1
16.2,14,45,nasi_soto_sapi,1
14.97,4,30,"jeruk_es,nasgor_kebuli_ayam",0
21.3,13,20,"nasi_mie_ayam_bakar,nasi_soto_ayam",0
8.8,10,30,"kerupuk_udang,jeruk_es",1
8.58,18,20,"nasi_soto_ayam,nasi_mie_ayam_bakar",1
16.18,8,45,"nasgor_kebuli_ayam,nasi_sfc",1
18.67,8,60,"kerupuk_udang,nasi_ayam_geprek,tahu_tempe_goreng",1
21.3,7,60,es_teh_manis,0
16.18,8,45,"nasi_mie_ayam_bakar,jeruk_es",1
11.13,14,60,"kentang_goreng,kerupuk_udang,es_teh_manis",1
20.1,19,60,"tahu_tempe_goreng,jeruk_es",1
16.45,6,20,jeruk_es,0
10.22,1,45,"nasi_ayam_penyet,nasgor_kebuli_ayam",0
14.5,15,30,nasi_ayam_penyet,0
13.85,1,20,nasi_ayam_geprek,0
15.3,17,45,"es_teh_manis,nasgor_kebuli_sapi",1
18.95,1,20,"nasi_soto_sapi,nasgor_kebuli_sapi",1
16.77,15,30,"nasgor_kebuli_ayam,nasi_lele_penyet",0
21.25,2,30,jeruk_es,0
12.87,14,45,"nasi_ayam_penyet,es_teh_manis,nasi_soto_babat",1
8.07,8,30,"tahu_tempe_goreng,nasi_ayam_geprek",1
10.57,8,20,nasi_soto_ayam,1
17.18,19,30,"nasi_lele_penyet,nasi_soto_babat,nasi_mie_ayam_bakar,kentang_goreng",1
19.4,7,20,kentang_goreng,0
15.85,19,20,"nasi_soto_sapi,nasi_mie_geprek",1
18.97,6,30,"nasi_ayam_penyet,nasi_mie_ayam_bakar",1
13.33,6,45,nasi_mie_ayam_bakar,0
15.58,3,60,"kerupuk_udang,nasi_ayam_penyet",0
16.87,7,30,nasi_sfc,0
11.37,19,20,"nasi_ayam_geprek,nasi_lele_penyet",1
8.25,8,20,nasi_mie_ayam_bakar,1
21.93,10,30,"nasi_lele_penyet,es_teh_manis",1
8.63,15,45,"tahu_tempe_goreng,kentang_goreng",1
17.73,15,45,"kerupuk_udang,nasi_ayam_penyet",1
11.87,1,20,"nasi_lele_penyet,nasi_ayam_geprek,nasi_soto_babat,nasi_mie_geprek",1
19.68,7,20,"nasi_soto_ayam,nasi_ayam_geprek",0
21.95,4,45,nasi_soto_sapi,0
14.63,6,60,"kerupuk_udang,nasi_ayam_geprek",0
9.22,1,30,nasi_mie_geprek,0
10.5,5,20,tahu_tempe_goreng,0
8.95,1,20,kerupuk_udang,0
12.07,4,45,"kerupuk_udang,jeruk_es",1
8.57,2,30,nasi_soto_sapi,0
15.37,10,45,nasi_mie_ayam_bakar,1
8.47,5,30,nasi_mie_ayam_bakar,0
18.7,10,30,"nasi_soto_babat,nasi_mie_geprek,es_teh_manis,nasi_mie_ayam_bakar",1
8.17,1,30,jeruk_es,0
9.28,6,20,tahu_tempe_goreng,0
9.77,13,60,"kentang_goreng,nasi_soto_ayam",1
19.18,15,45,nasgor_kebuli_sapi,1
13.13,4,60,nasi_mie_ayam_bakar,0
14.15,13,45,"nasi_soto_sapi,nasgor_kebuli_sapi",1
12.95,15,30,"nasi_soto_sapi,nasi_lele_penyet,nasi_soto_ayam,nasgor_kebuli_ayam",1
8.72,8,20,nasi_mie_ayam_bakar,0
8.27,5,60,kerupuk_udang,0
10.62,15,20,nasi_soto_sapi,1
21.1,4,45,nasi_mie_ayam_bakar,0
9.75,12,20,nasi_sfc,1
12.2,13,20,"nasi_mie_geprek,kentang_goreng,jeruk_es,nasgor_kebuli_ayam",1
19.65,2,60,nasi_sfc,0
17.68,19,30,"nasi_sfc,nasi_mie_geprek",1
13.13,19,20,"kerupuk_udang,nasi_ayam_geprek",0
14.82,4,30,"nasi_lele_penyet,nasi_sfc",0
11.43,4,45,"nasi_soto_babat,nasi_ayam_geprek",1
14.95,11,20,nasi_ayam_penyet,1
18.02,5,60,"nasi_ayam_penyet,kerupuk_udang",1
15.07,11,45,nasgor_kebuli_sapi,1
18.47,10,45,"nasi_lele_penyet,nasi_mie_geprek,kentang_goreng,nasi_sfc",1
8.6,8,60,nasi_lele_penyet,1
13.62,6,20,"nasi_ayam_geprek,nasi_lele_penyet",0
15.3,6,20,nasi_soto_ayam,0
12.12,8,45,"nasgor_kebuli_sapi,nasi_mie_geprek",1
11.78,15,20,"tahu_tempe_goreng,nasi_soto_babat,nasi_soto_sapi,nasi_lele_penyet",1
9.73,14,30,"jeruk_es,tahu_tempe_goreng",1
13.0,11,60,"nasi_ayam_penyet,kentang_goreng,nasgor_kebuli_ayam",1
13.35,12,30,"jeruk_es,tahu_tempe_goreng",1
18.85,13,20,"es_teh_manis,kerupuk_udang,nasi_soto_ayam,nasi_soto_sapi",1
8.27,8,45,"jeruk_es,nasi_lele_penyet",1
16.1,18,60,nasgor_kebuli_ayam,1
19.4,1,20,nasgor_kebuli_sapi,0
18.73,15,20,"nasi_ayam_geprek,nasgor_kebuli_sapi,tahu_tempe_goreng,nasgor_kebuli_ayam",1
13.05,8,45,nasi_soto_ayam,1
20.58,11,45,"nasi_ayam_geprek,nasgor_kebuli_ayam",1
10.08,12,30,nasi_ayam_geprek,1
11.98,12,60,"kerupuk_udang,nasi_sfc,nasi_soto_babat,nasi_mie_ayam_bakar",1
19.5,4,60,kerupuk_udang,0
18.3,16,45,"nasi_mie_ayam_bakar,nasi_ayam_geprek,nasi_mie_geprek",1
11.72,4,30,"nasi_lele_penyet,nasi_soto_ayam",0
10.88,5,60,nasgor_kebuli_sapi,0
17.63,5,45,"kerupuk_udang,nasi_sfc,es_teh_manis",1
10.43,8,20,"tahu_tempe_goreng,es_teh_manis",1
10.15,10,60,kerupuk_udang,1
11.42,17,30,"jeruk_es,kerupuk_udang",1
14.3,9,30,nasi_sfc,1
11.63,19,30,"nasi_sfc,nasi_ayam_penyet",1
16.03,14,20,"nasi_mie_ayam_bakar,jeruk_es",1
8.73,8,60,nasi_mie_ayam_bakar,1
15.2,9,60,kentang_goreng,1
14.82,11,20,nasi_mie_ayam_bakar,1
9.45,1,60,nasi_ayam_penyet,0
15.95,14,20,"nasi_soto_sapi,kerupuk_udang",1
8.32,5,20,"es_teh_manis,nasi_ayam_geprek",0
18.45,14,20,"nasi_soto_babat,jeruk_es,kentang_goreng",1
19.12,4,30,"nasgor_kebuli_sapi,nasi_sfc",0
16.67,1,60,es_teh_manis,0
16.63,19,20,"kentang_goreng,nasi_sfc",1
9.0,8,60,"nasgor_kebuli_sapi,nasgor_kebuli_ayam",1
14.03,15,30,nasi_mie_ayam_bakar,0
21.2,15,20,jeruk_es,1
17.45,9,45,"nasi_mie_ayam_bakar,nasgor_kebuli_ayam,kerupuk_udang,nasi_mie_geprek",1
10.93,9,30,nasi_mie_ayam_bakar,1
14.98,10,45,kerupuk_udang,1
19.8,9,60,nasi_lele_penyet,1
17.4,3,60,"nasi_soto_sapi,nasi_ayam_penyet,nasi_mie_ayam_bakar",1
16.92,11,30,nasi_soto_sapi,0
11.53,6,60,"nasgor_kebuli_ayam,nasi_ayam_penyet,nasi_ayam_geprek,nasi_soto_babat",1
19.62,2,45,nasi_soto_sapi,1
8.87,7,20,kentang_goreng,0
9.08,18,20,"nasi_ayam_penyet,nasi_sfc",0
8.95,2,20,nasgor_kebuli_sapi,0
21.72,17,30,"nasgor_kebuli_ayam,jeruk_es",1
19.73,11,60,"nasi_soto_ayam,nasi_ayam_geprek",1
12.52,12,45,"nasi_sfc,nasi_soto_sapi,nasi_ayam_geprek,nasi_mie_geprek",1
12.73,19,60,"jeruk_es,es_teh_manis,nasi_ayam_penyet",1
18.77,7,60,"nasgor_kebuli_ayam,nasi_soto_sapi",1
14.33,6,60,"nasi_ayam_geprek,nasi_soto_ayam",1
16.25,1,20,"tahu_tempe_goreng,nasi_ayam_penyet",0
16.88,17,45,nasi_soto_ayam,1
10.33,11,45,kentang_goreng,1
10.17,18,60,"tahu_tempe_goreng,nasi_mie_geprek",1
10.98,17,20,"kerupuk_udang,tahu_tempe_goreng",1
11.6,7,20,"nasi_sfc,kerupuk_udang",1
15.58,17,45,nasi_lele_penyet,1
13.57,9,20,"nasi_mie_geprek,tahu_tempe_goreng",0
15.3,17,20,jeruk_es,0
8.32,8,20,"nasi_mie_ayam_bakar,nasi_soto_babat",0
15.93,17,30,kentang_goreng,0
11.28,7,60,"nasgor_kebuli_sapi,nasgor_kebuli_ayam,nasi_lele_penyet",1
18.77,1,45,"jeruk_es,es_teh_manis",1
8.67,13,45,"nasi_ayam_geprek,nasi_mie_ayam_bakar",1
15.8,19,30,"nasi_soto_ayam,nasi_ayam_penyet",1
11.22,19,60,"nasi_soto_sapi,nasi_soto_ayam",1
13.23,17,45,kerupuk_udang,1
15.5,13,20,nasi_sfc,0
11.0,16,45,"nasgor_kebuli_ayam,nasi_ayam_penyet",1
21.87,8,20,"nasi_soto_sapi,nasi_sfc",1
10.88,19,30,jeruk_es,0
21.88,18,20,"tahu_tempe_goreng,nasi_ayam_penyet",1
16.03,1,45,nasi_ayam_penyet,0
10.25,14,45,"nasi_mie_ayam_bakar,nasi_lele_penyet",1
16.37,19,45,nasi_ayam_penyet,1
20.93,15,30,"nasi_mie_geprek,nasi_ayam_penyet",1
9.17,18,30,nasi_soto_sapi,1
21.18,2,60,jeruk_es,0
9.15,17,45,nasi_mie_ayam_bakar,1
9.52,18,20,nasi_mie_geprek,1
13.25,6,30,"kentang_goreng,jeruk_es",0
10.12,19,45,nasi_ayam_geprek,1
20.62,4,45,nasi_ayam_penyet,0
16.18,1,30,nasi_ayam_geprek,0
11.38,8,60,"kerupuk_udang,kentang_goreng,nasgor_kebuli_sapi",1
8.45,7,30,nasgor_kebuli_ayam,0
11.87,3,30,"kerupuk_udang,tahu_tempe_goreng,nasi_lele_penyet",1
8.12,10,20,nasi_ayam_geprek,1
21.95,10,20,"nasi_sfc,nasi_lele_penyet",1
12.45,19,60,"nasi_lele_penyet,nasgor_kebuli_sapi,tahu_tempe_goreng",1
11.58,14,45,"nasi_lele_penyet,nasgor_kebuli_sapi",1
15.42,2,30,nasi_ayam_geprek,0
15.12,1,60,"kentang_goreng,nasi_mie_ayam_bakar",1
14.95,18,20,"nasi_sfc,nasi_ayam_geprek",1
10.98,7,30,nasi_ayam_penyet,0
8.82,8,45,"kentang_goreng,nasi_ayam_penyet",1
8.45,1,20,nasgor_kebuli_sapi,0
19.45,3,20,"nasi_ayam_penyet,nasi_mie_ayam_bakar",0
18.6,8,20,"nasgor_kebuli_sapi,nasi_lele_penyet,kerupuk_udang",1
10.67,15,60,"tahu_tempe_goreng,es_teh_manis",1
13.58,5,45,nasi_soto_babat,1
14.43,3,30,nasgor_kebuli_ayam,0
13.88,19,60,"nasgor_kebuli_ayam,nasi_soto_babat",1
21.27,1,60,"nasi_mie_geprek,tahu_tempe_goreng",0
21.13,15,60,nasgor_kebuli_sapi,1
13.53,8,20,"nasi_sfc,nasi_ayam_penyet",0
13.87,2,45,nasi_soto_babat,0
20.32,3,60,"nasgor_kebuli_ayam,nasi_ayam_geprek",0
10.2,14,30,"nasi_mie_ayam_bakar,nasi_ayam_geprek",0
13.45,14,45,"nasi_ayam_geprek,jeruk_es",1
15.78,11,30,nasgor_kebuli_ayam,1
18.47,16,45,"nasi_ayam_penyet,nasi_soto_sapi,nasgor_kebuli_sapi",1
18.2,4,30,"nasgor_kebuli_sapi,nasi_mie_geprek",0
9.75,5,20,tahu_tempe_goreng,0
12.57,14,60,"kentang_goreng,nasi_soto_ayam",1
21.08,16,30,jeruk_es,0
8.28,18,45,"kerupuk_udang,nasi_soto_ayam",1
19.83,7,60,nasi_mie_ayam_bakar,1
8.07,10,60,kentang_goreng,1
12.77,7,45,"kerupuk_udang,nasi_ayam_geprek,es_teh_manis,nasi_sfc",1
19.4,1,30,jeruk_es,0
20.02,19,20,"nasi_ayam_penyet,nasi_soto_ayam",1
10.15,16,20,"nasgor_kebuli_ayam,nasi_soto_ayam",0
11.92,19,30,"nasi_ayam_geprek,tahu_tempe_goreng",1
10.48,4,60,kerupuk_udang,1
8.82,18,60,kentang_goreng,1
8.97,2,60,"nasi_mie_geprek,nasi_ayam_geprek",1
19.73,1,60,"nasi_ayam_geprek,kerupuk_udang",0
19.07,15,30,nasi_sfc,1
21.9,5,60,jeruk_es,1
20.92,11,45,"nasgor_kebuli_ayam,nasi_lele_penyet",1
21.53,10,60,"nasi_lele_penyet,nasi_soto_babat",1
12.88,2,20,"nasi_sfc,tahu_tempe_goreng",1
13.0,3,60,"nasgor_kebuli_ayam,tahu_tempe_goreng,kentang_goreng,nasi_ayam_penyet",1
10.28,12,30,"nasi_mie_ayam_bakar,kerupuk_udang",0
19.52,5,20,"nasi_ayam_geprek,nasi_soto_sapi",0
16.77,5,30,nasi_ayam_geprek,0
12.8,6,30,"nasi_mie_geprek,nasi_soto_sapi",0
15.17,9,20,kentang_goreng,1
20.33,2,30,kerupuk_udang,0
8.42,12,30,"nasi_sfc,nasi_soto_sapi",0
21.4,3,60,jeruk_es,0
12.35,12,45,"nasi_soto_ayam,nasi_ayam_geprek,kentang_goreng,kerupuk_udang",1
10.97,17,30,kentang_goreng,1
19.43,10,30,"nasi_soto_ayam,nasi_sfc",0
8.8,14,30,"nasi_lele_penyet,kerupuk_udang",1
11.2,17,60,"es_teh_manis,nasgor_kebuli_ayam,nasi_mie_geprek,nasi_mie_ayam_bakar",1
20.53,18,45,jeruk_es,1
12.55,19,20,"nasgor_kebuli_ayam,nasi_mie_geprek",1
14.67,17,60,nasi_soto_sapi,1
8.57,14,60,nasi_mie_geprek,1
10.0,9,45,nasgor_kebuli_sapi,1
9.33,8,45,"kentang_goreng,nasi_lele_penyet",1
16.78,2,60,"kerupuk_udang,nasgor_kebuli_ayam",0
17.9,13,20,"nasi_ayam_penyet,nasi_sfc,es_teh_manis,nasi_soto_sapi",1
13.08,7,60,"nasi_sfc,nasi_ayam_geprek",1
17.45,9,45,"nasi_ayam_penyet,nasi_soto_babat,nasi_mie_geprek,jeruk_es",1
10.27,11,20,"nasgor_kebuli_ayam,nasi_sfc",0
15.07,14,45,"nasi_lele_penyet,nasgor_kebuli_sapi",1
21.5,4,20,tahu_tempe_goreng,0
15.07,13,30,nasi_ayam_penyet,1
9.62,2,45,"jeruk_es,nasi_ayam_penyet",0
13.03,5,45,"nasi_mie_geprek,nasgor_kebuli_sapi",1
